full_name,drivers_license~number,drivers_license~issue_date,drivers_license~exp_date,drivers_license~restrictions,home~state,height,format_height,format_weight
Devin James Miller,D02VPCN9,2090-05-27,2098-05-27,None,Arkansas,77.1,"6' 5""",179 lbs
Stephanie Sara Gardner,K99IIFF6,2092-10-22,2100-10-22,D - Daytime Only,South Carolina,71.9,"6' 0""",138 lbs
Alicia Brittany Alvarado,K23LSOW6,2090-10-27,2098-10-27,None,West Virginia,63.1,"5' 3""",132 lbs
Alexander Jake Turner,X77IPJV5,2098-08-12,2106-08-12,None,Minnesota,62.4,"5' 2""",163 lbs
Nicole Alyssa Archer,Q05WMUP8,2095-11-08,2103-11-08,None,Maryland,66.6,"5' 7""",131 lbs
Philip Joseph Lozano,F67KDYT4,2093-02-08,2101-02-08,None,Ohio,73.7,"6' 2""",210 lbs
Jeanne Kaitlyn Collins,L49CWRR7,2097-01-11,2105-01-11,None,Massachusetts,54.0,"4' 6""",149 lbs
Joel Nicholas Jackson,L31ZNHP5,2099-04-14,2107-04-14,None,Oregon,70.9,"5' 11""",175 lbs
Craig Brett Wagner,J33RCDE1,2097-01-24,2105-01-24,None,Georgia,77.4,"6' 5""",171 lbs
Christopher Joseph Young,E40JIFF4,2097-10-12,2105-10-12,B - Corrective Lenses,Oregon,68.1,"5' 8""",124 lbs
Daniel Alan Brown,B39AUBF9,2090-11-04,2098-11-04,None,North Dakota,67.3,"5' 7""",169 lbs
Patricia Amy Scott,T44LKUP3,2098-07-18,2106-07-18,D - Daytime Only,New York,66.6,"5' 7""",128 lbs
Katelyn Brittany Baker,R65WHEE7,2095-07-12,2103-07-12,None,Delaware,69.5,"5' 10""",137 lbs
Diane Rebecca Hill,N34WISX4,2099-01-14,2107-01-14,None,Virginia,66.6,"5' 7""",134 lbs
Brian Michael Dixon,F92IVCQ1,2096-07-20,2104-07-20,None,Nevada,65.9,"5' 6""",195 lbs
Rachel Arnold,L99XEGI9,2095-09-05,2103-09-05,None,Wyoming,67.9,"5' 8""",136 lbs
Judy Amber Moore,I99FBGC7,2091-03-04,2099-03-04,None,New Mexico,66.4,"5' 6""",136 lbs
Ryan Richard Collins,X37LIIG2,2098-09-30,2106-09-30,None,Massachusetts,73.3,"6' 1""",206 lbs
Robin Leslie Young,A22PUVM2,2094-06-03,2102-06-03,B - Corrective Lenses,Vermont,66.7,"5' 7""",142 lbs
Anthony James Mason,I26LODA8,2091-07-09,2099-07-09,None,Nebraska,64.2,"5' 4""",168 lbs
Christopher Anthony Cuevas,D41ZYHN6,2091-09-29,2099-09-29,None,Indiana,77.1,"6' 5""",157 lbs
Donna Cervantes,K53RXMN9,2091-06-13,2099-06-13,D - Daytime Only,Nevada,62.1,"5' 2""",124 lbs
Lori Lynch,Y48EKCJ4,2093-06-12,2101-06-12,None,Pennsylvania,66.2,"5' 6""",140 lbs
Richard Mark Spencer,R56BXKP6,2079-12-24,2087-12-24,None,Kentucky,66.3,"5' 6""",191 lbs
April Mitchell,F66NKPG7,2097-12-26,2105-12-26,None,Florida,59.8,"5' 0""",140 lbs
Steven Robert Petty,Q74CWZK9,2096-03-20,2104-03-20,None,Wisconsin,71.0,"5' 11""",168 lbs
Brian Justin Boyer,W08WJKO0,2092-02-19,2100-02-19,None,Florida,67.1,"5' 7""",186 lbs
Lisa Tyler,U39YSGJ9,2092-07-25,2100-07-25,None,Georgia,64.4,"5' 4""",131 lbs
Hannah Leah Johnson,E87NUGF6,2093-04-02,2101-04-02,None,Tennessee,63.1,"5' 3""",141 lbs
Joshua Julian Decker,H67FADO4,2081-11-18,2089-11-18,B - Corrective Lenses,Illinois,71.6,"6' 0""",160 lbs
Matthew Robert Shepherd,O09NAVZ1,2095-09-19,2103-09-19,None,Wyoming,69.0,"5' 9""",168 lbs
Michael Jason Robinson,F35QADD4,2095-11-28,2103-11-28,None,Utah,67.7,"5' 8""",196 lbs
Gabrielle Margaret Orr,F62PIXO2,2095-11-22,2103-11-22,D - Daytime Only,California,66.5,"5' 6""",145 lbs
Jeffrey Orr,T66YJCV4,2095-10-03,2103-10-03,None,Wisconsin,64.3,"5' 4""",224 lbs
Chelsea Tiffany Sanchez,V13DTXF9,2090-01-27,2098-01-27,None,Missouri,66.0,"5' 6""",128 lbs
Michael Decker,X32JZTQ4,2092-12-24,2100-12-24,D - Daytime Only,Missouri,72.4,"6' 0""",211 lbs
Deborah Jessica Perkins,T88QPAP7,2096-11-18,2104-11-18,None,New Mexico,68.3,"5' 8""",173 lbs
Robin Pamela Callahan,Q41JIYH1,2096-11-28,2104-11-28,None,Vermont,64.4,"5' 4""",135 lbs
Kelly Jessica Preston,K75MUQJ5,2093-08-28,2101-08-28,None,Arizona,63.5,"5' 4""",145 lbs
Charles Kevin Preston,Q60IHUB1,2095-03-17,2103-03-17,B - Corrective Lenses,South Carolina,66.1,"5' 6""",184 lbs
Dana Jennifer Hamilton,G25DKPX2,2093-06-04,2101-06-04,None,Iowa,67.3,"5' 7""",130 lbs
Jennifer Caitlin Smith,U00EEIX3,2099-04-24,2107-04-24,None,Alaska,59.8,"5' 0""",133 lbs
Leah Wilson,F00FVPC1,2093-03-26,2101-03-26,B - Corrective Lenses,Washington,70.9,"5' 11""",156 lbs
Jordan Wilson,M82PCTB9,2094-12-14,2102-12-14,None,Mississippi,72.3,"6' 0""",156 lbs
Andrew Hall,O77ZHCV1,2098-04-03,2106-04-03,None,Nebraska,64.0,"5' 4""",173 lbs
Jeremy Anthony Hall,Y18ZWXF2,2099-10-25,2107-10-25,None,Pennsylvania,60.7,"5' 1""",164 lbs
Savannah Joy Hall,S32ENTL7,2092-02-18,2100-02-18,None,New York,65.5,"5' 6""",141 lbs
Mary Harris,K28EFLY3,2096-11-02,2104-11-02,None,Florida,61.0,"5' 1""",164 lbs
Kimberly Wood,X11WPKO5,2099-06-11,2107-06-11,None,Illinois,70.4,"5' 10""",153 lbs
James Daniel Wood,E18JJBR1,2093-03-07,2101-03-07,None,South Dakota,68.4,"5' 8""",158 lbs
Emily Deborah Hopkins,Q72NZQX5,2091-08-16,2099-08-16,None,Wisconsin,63.0,"5' 3""",123 lbs
Colleen Kristin Miller,G96FJTO4,2090-10-04,2098-10-04,None,Louisiana,59.7,"5' 0""",160 lbs
Julie Ann Gardner,W69UDQX6,2092-07-21,2100-07-21,None,Idaho,66.0,"5' 6""",112 lbs
Janet Rhonda Gardner,H74NPNR9,2097-10-03,2105-10-03,None,Alaska,59.3,"4' 11""",111 lbs
Michael Brandon Rose,B83XHFL9,2095-11-25,2103-11-25,None,Iowa,69.0,"5' 9""",165 lbs
Lance Joseph Rose,H55IGEL5,2099-04-17,2107-04-17,None,Alaska,79.8,"6' 8""",212 lbs
Corey Kevin Vaughn,H83ZBAS4,2089-03-30,2097-03-30,B - Corrective Lenses,Georgia,72.1,"6' 0""",180 lbs
Tammy Jessica Vaughn,A21CSSQ4,2096-01-04,2104-01-04,B - Corrective Lenses,Nevada,62.7,"5' 3""",113 lbs
Lindsay Stephanie Beltran,N10DOIF9,2094-06-11,2102-06-11,None,Illinois,65.2,"5' 5""",141 lbs
Alan Michael Beltran,J78QWMY1,2099-05-26,2107-05-26,None,Kentucky,67.6,"5' 8""",163 lbs
Cynthia Laura Berry,U84IPDU9,2094-11-07,2102-11-07,None,Illinois,61.2,"5' 1""",136 lbs
Melvin Stephen Miller,E46EHRO6,2093-11-12,2101-11-12,None,Louisiana,65.2,"5' 5""",180 lbs
Nicholas Jeff Nguyen,I36DGII2,2095-03-05,2103-03-05,None,New Hampshire,77.5,"6' 6""",192 lbs
Denise Tammy Monroe,P58YLTA0,2098-12-17,2106-12-17,B - Corrective Lenses,North Dakota,59.2,"4' 11""",139 lbs
Nicole Melissa Nguyen,R09NRED6,2096-07-21,2104-07-21,None,Texas,69.9,"5' 10""",150 lbs
Samantha Gina Ellis,Y96UCTN9,2091-06-13,2099-06-13,D - Daytime Only,Nevada,66.4,"5' 6""",153 lbs
Melissa Erin Martinez,I24ZMLI4,2093-07-29,2101-07-29,None,Ohio,61.1,"5' 1""",131 lbs
Robin Kristin Morrison,M03CTQL4,2094-09-11,2102-09-11,None,Colorado,55.4,"4' 7""",142 lbs
Jennifer Ashley Shaw,Y40BNTN2,2091-04-18,2099-04-18,D - Daytime Only,Utah,62.1,"5' 2""",149 lbs
Zachary Thomas Higgins,H68MGUI3,2095-08-05,2103-08-05,None,New Hampshire,72.8,"6' 1""",186 lbs
Julie Higgins,O18CSYF7,2096-04-26,2104-04-26,None,Tennessee,71.8,"6' 0""",134 lbs
Travis Garcia,Y68DZMY6,2090-04-16,2098-04-16,None,North Carolina,67.1,"5' 7""",182 lbs
Courtney Garcia,M37AAJP6,2095-11-10,2103-11-10,B - Corrective Lenses,South Dakota,66.7,"5' 7""",126 lbs
Steven Caleb Sherman,K76BZXX3,2093-05-18,2101-05-18,None,Florida,82.3,"6' 10""",178 lbs
Adam Gordon,Y21FNFW1,2097-07-11,2105-07-11,None,Minnesota,65.6,"5' 6""",211 lbs
Jamie Mcgee,B82LEHX0,2099-04-25,2107-04-25,None,North Carolina,57.5,"4' 10""",145 lbs
Sherry Jessica Hartman,E36CIRN8,2092-12-19,2100-12-19,B - Corrective Lenses,Montana,68.1,"5' 8""",131 lbs
Brittany Martinez,S73AFUS7,2094-06-02,2102-06-02,None,District of Columbia,72.6,"6' 1""",121 lbs
Rebecca Holly Hoffman,V20FTRS2,2095-05-04,2103-05-04,None,Tennessee,66.9,"5' 7""",127 lbs
Michael Evan Cruz,O05LPZZ7,2094-11-21,2102-11-21,None,Montana,64.2,"5' 4""",180 lbs
Michael James Mclean,G67KLYN8,2097-06-03,2105-06-03,None,Colorado,70.4,"5' 10""",198 lbs
Joanne Ashley Mclean,F61YQFV5,2090-10-06,2098-10-06,None,Connecticut,62.2,"5' 2""",147 lbs
Ian Thomas Hartman,H63VLBW5,2093-10-26,2101-10-26,None,Montana,68.9,"5' 9""",168 lbs
Kaitlin Michelle Hartman,J93FLRE8,2094-06-10,2102-06-10,None,Colorado,68.4,"5' 8""",125 lbs
Kimberly Penny Webb,X59JBTG3,2094-12-05,2102-12-05,None,Montana,67.5,"5' 8""",164 lbs
Zachary David Webb,M82UUQA2,2091-08-09,2099-08-09,None,Indiana,75.5,"6' 4""",162 lbs
David Randall Webb,K10YILR4,2092-04-16,2100-04-16,None,Delaware,67.0,"5' 7""",157 lbs
Tyler Boyer,Z71TPWN2,2095-01-17,2103-01-17,None,South Carolina,71.5,"6' 0""",165 lbs
Max Nathan Callahan,A62TGPI4,2096-03-22,2104-03-22,None,Vermont,72.0,"6' 0""",157 lbs
Amy Heather Callahan,C82YXMJ5,2093-05-02,2101-05-02,B - Corrective Lenses,Ohio,62.8,"5' 3""",130 lbs
Julie Kara Stark,X67VJRJ1,2097-07-21,2105-07-21,B - Corrective Lenses,Montana,58.5,"4' 10""",128 lbs
Anthony Curtis Stark,A12GQVU0,2091-03-29,2099-03-29,None,Connecticut,65.8,"5' 6""",194 lbs
Kevin Jeffrey Stark,G85IVSK6,2094-12-15,2102-12-15,None,Tennessee,63.7,"5' 4""",183 lbs
Samantha Christine Stark,V56XJFB2,2098-06-30,2106-06-30,B - Corrective Lenses,California,65.1,"5' 5""",138 lbs
Deanna Stark,Y95XCTN3,2098-04-06,2106-04-06,None,North Carolina,58.8,"4' 11""",128 lbs
Tyler Luis Griffin,B95BSCJ2,2099-03-30,2107-03-30,None,South Carolina,67.2,"5' 7""",179 lbs
Nicole Amanda Peterson,J20JBFX1,2092-10-10,2100-10-10,None,Vermont,69.8,"5' 10""",144 lbs
Robert Jordan Davis,U99PWHX8,2094-08-06,2102-08-06,None,Rhode Island,71.9,"6' 0""",174 lbs
Kirk Jose Hamilton,Z98JEEX3,2093-12-03,2101-12-03,None,Iowa,71.2,"5' 11""",161 lbs
Dalton Scott Spencer,A67VXWT5,2093-06-30,2101-06-30,None,New York,73.0,"6' 1""",167 lbs
Laura Michelle Spencer,T01KKKL5,2093-11-25,2101-11-25,None,Utah,65.2,"5' 5""",137 lbs
Frederick James Walters,I61HAOC9,2097-08-02,2105-08-02,None,Idaho,68.3,"5' 8""",179 lbs
Melissa Rebecca Walters,E83SJAE3,2092-07-27,2100-07-27,None,Nebraska,60.1,"5' 0""",142 lbs
Madeline Kendra Taylor,R33EUCA0,2098-12-22,2106-12-22,None,Illinois,65.2,"5' 5""",133 lbs
Joanna Jessica Frank,B51SJVE2,2094-09-03,2102-09-03,None,New Mexico,63.5,"5' 4""",132 lbs
Debra Valerie Bartlett,X99ZIYN4,2090-04-27,2098-04-27,B - Corrective Lenses,Mississippi,58.9,"4' 11""",146 lbs
William Steve Bartlett,H83ZYUJ1,2091-09-23,2099-09-23,None,Alabama,64.8,"5' 5""",217 lbs
Heidi Bartlett,S60PGKP5,2096-12-23,2104-12-23,None,Nebraska,63.4,"5' 3""",147 lbs
Rebekah Chavez,J14HXCM7,2094-09-23,2102-09-23,None,Maine,64.5,"5' 4""",150 lbs
Maria Chavez,Z75JCZM6,2097-11-28,2105-11-28,None,Oklahoma,66.2,"5' 6""",146 lbs
Sandra Hoover,Z22XBQM2,2097-02-17,2105-02-17,None,District of Columbia,66.5,"5' 6""",111 lbs
Rebecca Nicole White,F94PRNR5,2091-01-09,2099-01-09,None,Kentucky,72.2,"6' 0""",154 lbs
Alyssa Erin Williams,J96UKCF6,2095-02-05,2103-02-05,None,Florida,65.6,"5' 6""",154 lbs
Kevin Williams,W53BKSC7,2093-11-13,2101-11-13,D - Daytime Only,Oklahoma,67.7,"5' 8""",149 lbs
Renee Jennifer Williams,S59UAGV1,2091-04-17,2099-04-17,None,Wyoming,69.7,"5' 10""",144 lbs
Susan Nicole Higgins,O75GKIL8,2096-07-10,2104-07-10,None,New Hampshire,62.2,"5' 2""",125 lbs
Alyssa Kathy Mendez,Y65JIRC1,2093-01-27,2101-01-27,None,Minnesota,67.4,"5' 7""",129 lbs
Lawrence Kenneth Berry,S93IJZS9,2093-03-27,2101-03-27,None,Illinois,69.0,"5' 9""",202 lbs
Ashley Cindy Berry,D15YPBN1,2094-12-13,2102-12-13,None,Indiana,65.9,"5' 6""",124 lbs
Bobby Johnny Collins,N49UUWL9,2093-11-30,2101-11-30,None,Virginia,66.3,"5' 6""",176 lbs
Matthew Jason Collins,W40VJNJ4,2096-07-23,2104-07-23,None,South Dakota,70.3,"5' 10""",178 lbs
Gregory Brian Peterson,O10FZVW2,2093-08-17,2101-08-17,None,Vermont,68.9,"5' 9""",173 lbs
Kevin Michael Peterson,G86IEZL5,2095-03-04,2103-03-04,None,Indiana,76.7,"6' 5""",209 lbs
Patricia Nicole Hensley,P65BOUJ3,2097-05-11,2105-05-11,None,Indiana,66.5,"5' 6""",128 lbs
Kristie Linda Lee,A70AWKG7,2098-12-25,2106-12-25,None,Hawaii,68.5,"5' 8""",154 lbs
Amanda Anna Williams,D29AXCK6,2096-04-18,2104-04-18,None,District of Columbia,63.6,"5' 4""",133 lbs
Victor James Williams,V85TAYP3,2092-11-23,2100-11-23,None,Alabama,66.3,"5' 6""",184 lbs
Catherine Brenda Nguyen,A51HOXW1,2098-04-22,2106-04-22,None,New Hampshire,66.2,"5' 6""",127 lbs
Ashley April Roth,V78EHFL8,2093-09-19,2101-09-19,None,North Dakota,64.2,"5' 4""",149 lbs
Katrina Victoria Roth,B27IITG4,2096-10-21,2104-10-21,None,Missouri,60.8,"5' 1""",126 lbs
Nicholas Ronald Hooper,L56XOEO2,2098-03-23,2106-03-23,None,Arizona,69.6,"5' 10""",162 lbs
Robin Hooper,T13RJTX2,2099-03-03,2107-03-03,None,Connecticut,68.3,"5' 8""",141 lbs
Bradley George Ellis,R32IQCF2,2094-08-13,2102-08-13,None,Nevada,74.3,"6' 2""",224 lbs
Penny Karen Johnson,U71TNAI7,2091-01-09,2099-01-09,None,Wisconsin,70.1,"5' 10""",135 lbs
Crystal Hughes,J40TKGM3,2093-01-08,2101-01-08,None,Hawaii,68.8,"5' 9""",121 lbs
Charles Kyle Miller,Z28VHHA9,2091-12-06,2099-12-06,None,Florida,60.2,"5' 0""",149 lbs
Nathaniel Miller,W13LLHQ6,2099-10-09,2107-10-09,None,South Dakota,75.1,"6' 3""",155 lbs
Jason Michael Stark,K43XGWU9,2096-02-13,2104-02-13,None,Tennessee,77.8,"6' 6""",184 lbs
Lisa Tucker,Q41XUFP3,2098-05-04,2106-05-04,None,New Hampshire,61.0,"5' 1""",134 lbs
Carolyn Nancy Pacheco,P13UBGL7,2097-11-06,2105-11-06,None,Missouri,70.2,"5' 10""",140 lbs
Melissa Amanda Tucker,P81KDTW8,2098-09-21,2106-09-21,None,North Dakota,66.2,"5' 6""",163 lbs
Christian Steve Tucker,V55TTTQ4,2099-05-14,2107-05-14,B - Corrective Lenses,Tennessee,68.9,"5' 9""",183 lbs
Denise Claire Monroe,Q35CYNW3,2099-01-10,2107-01-10,None,West Virginia,70.2,"5' 10""",128 lbs
David Scott,N73THBM7,2092-11-07,2100-11-07,None,Kansas,78.5,"6' 6""",180 lbs
Tyler Anthony Scott,D90FZBM5,2090-04-20,2098-04-20,D - Daytime Only,Wyoming,68.9,"5' 9""",196 lbs
Michael Ernest Kelly,J39FZEW6,2094-05-23,2102-05-23,None,District of Columbia,69.6,"5' 10""",180 lbs
Sarah Monica Wallace,K14LSXD1,2092-08-17,2100-08-17,None,Oregon,59.6,"5' 0""",142 lbs
Caroline Brittany Wallace,K97KGRD9,2094-02-23,2102-02-23,None,Wisconsin,61.2,"5' 1""",150 lbs
Dennis Samuel Wallace,A60SPKS1,2091-11-14,2099-11-14,None,Massachusetts,75.1,"6' 3""",191 lbs
Charles James Shaw,Z74USSN8,2092-03-08,2100-03-08,None,Utah,71.2,"5' 11""",200 lbs
Joseph Justin Sutton,O37MCAZ8,2098-11-08,2106-11-08,None,Oregon,79.4,"6' 7""",205 lbs
Jessica Jessica Sutton,Z17BKIQ2,2096-01-10,2104-01-10,None,Texas,65.5,"5' 6""",153 lbs
Frank Brandon Baxter,P56GYJW9,2095-04-14,2103-04-14,None,South Carolina,82.8,"6' 11""",188 lbs
Laura Kendra Baxter,I75JKVW6,2092-06-27,2100-06-27,B - Corrective Lenses,Ohio,72.8,"6' 1""",137 lbs
Kathryn Erica Lee,Q03IUWC5,2095-10-19,2103-10-19,B - Corrective Lenses,Hawaii,61.3,"5' 1""",149 lbs
Wayne Jeffrey Martinez,R11DWVB7,2099-06-21,2107-06-21,None,District of Columbia,71.7,"6' 0""",159 lbs
Kevin Robert Brooks,Z28YZGB0,2093-12-07,2101-12-07,None,Mississippi,71.1,"5' 11""",204 lbs
Douglas Matthew Brooks,F96DGPD8,2097-01-03,2105-01-03,None,North Carolina,64.9,"5' 5""",183 lbs
Samantha Kathryn Smith,Y08AASS5,2098-06-02,2106-06-02,None,Wisconsin,68.9,"5' 9""",145 lbs
Rachel Margaret Hall,C64YAUU8,2095-05-13,2103-05-13,None,Pennsylvania,59.7,"5' 0""",108 lbs
Adam Shane Hooper,J92NMZW2,2098-08-25,2106-08-25,None,Arizona,75.4,"6' 3""",171 lbs
David Kyle Lester,W29QUEG0,2094-09-23,2102-09-23,None,Utah,65.6,"5' 6""",176 lbs
Colleen Kayla Lester,W25IJSY0,2099-11-26,2107-11-26,None,Alabama,65.8,"5' 6""",151 lbs
Taylor Benson,G01BPJB1,2099-10-29,2107-10-29,None,Oklahoma,67.8,"5' 8""",150 lbs
Joseph Robert Campbell,W21WKZM1,2093-01-26,2101-01-26,None,Utah,64.7,"5' 5""",178 lbs
Tabitha Carrie Marsh,E56UBFV7,2096-01-25,2104-01-25,None,Colorado,70.3,"5' 10""",129 lbs
Dawn Elizabeth Marsh,V00YYHR4,2098-05-19,2106-05-19,None,Virginia,63.5,"5' 4""",136 lbs
Joshua Juan Baird,Y33IZJA4,2089-09-16,2097-09-16,None,Arizona,71.0,"5' 11""",195 lbs
Benjamin Brandon Baird,R30DVJP3,2095-11-01,2103-11-01,B - Corrective Lenses,Minnesota,78.9,"6' 7""",213 lbs
John Stone,A04CLVC4,2096-11-11,2104-11-11,None,North Dakota,62.3,"5' 2""",166 lbs
Sean Jason White,Y86RFLX3,2095-06-08,2103-06-08,None,Maine,70.4,"5' 10""",174 lbs
Nicholas Tony White,E20WIXQ1,2092-06-11,2100-06-11,None,West Virginia,72.4,"6' 0""",208 lbs
Steven Steve Edwards,L12LMLS0,2090-01-16,2098-01-16,None,Oklahoma,65.6,"5' 6""",188 lbs
Jessica Patricia Edwards,E76WNEM7,2098-01-03,2106-01-03,None,District of Columbia,71.2,"5' 11""",144 lbs
Stephen Edwards,W35IKXF2,2090-02-20,2098-02-20,B - Corrective Lenses,District of Columbia,73.1,"6' 1""",171 lbs
Michele Kimberly Baxter,E17BRDD6,2089-09-01,2097-09-01,None,South Carolina,68.3,"5' 8""",143 lbs
Andrew Tyler Pacheco,I38DMYD2,2093-01-31,2101-01-31,None,Oregon,75.7,"6' 4""",186 lbs
Brendan Edward Pacheco,H93XTAN1,2089-11-06,2097-11-06,None,Virginia,72.1,"6' 0""",158 lbs
Benjamin Pacheco,H10TVDY4,2095-05-13,2103-05-13,B - Corrective Lenses,Missouri,72.4,"6' 0""",147 lbs
Erica Teresa Bass,S92PLHP5,2092-02-08,2100-02-08,None,District of Columbia,63.3,"5' 3""",121 lbs
Andrea Linda Aguilar,G57DYIT6,2098-07-19,2106-07-19,None,Utah,66.7,"5' 7""",135 lbs
Michelle Sanford,P29WRJF9,2091-01-27,2099-01-27,None,Oklahoma,65.5,"5' 6""",136 lbs
Olivia Kelly Frost,N32EIBB1,2090-03-23,2098-03-23,None,Michigan,65.1,"5' 5""",138 lbs
Heather Jodi Mclean,C50NMMO7,2093-02-18,2101-02-18,None,Colorado,67.2,"5' 7""",128 lbs
Kimberly Kelly Tate,T84ASRL0,2093-06-09,2101-06-09,None,South Dakota,60.4,"5' 0""",156 lbs
Vincent Cole,N35HSJP3,2090-04-07,2098-04-07,None,Maryland,76.3,"6' 4""",162 lbs
Michael Brett Collins,Q06JOFL2,2097-05-21,2105-05-21,D - Daytime Only,Virginia,62.2,"5' 2""",207 lbs
Rhonda Pamela Edwards,Z88SOQM1,2095-12-18,2103-12-18,None,District of Columbia,62.4,"5' 2""",146 lbs
Katherine Carrie Vaughn,H41ZINR4,2090-03-29,2098-03-29,None,Georgia,66.1,"5' 6""",142 lbs
Patrick Kevin Long,C73SZIY6,2097-09-06,2105-09-06,None,North Dakota,73.0,"6' 1""",171 lbs
Devin Joseph Long,K36BMXH4,2095-01-11,2103-01-11,B - Corrective Lenses,Wyoming,70.7,"5' 11""",204 lbs
Scott Jonathan Monroe,P18BLCX7,2095-03-22,2103-03-22,D - Daytime Only,West Virginia,71.8,"6' 0""",192 lbs
Lisa Monroe,C13TZLV8,2091-01-16,2099-01-16,None,North Dakota,64.0,"5' 4""",114 lbs
Stacy Sara Webb,D27GTGY7,2097-07-03,2105-07-03,None,Delaware,73.1,"6' 1""",147 lbs
Javier Alexander Monroe,V98TVBW6,2092-10-04,2100-10-04,D - Daytime Only,Colorado,74.1,"6' 2""",174 lbs
Brittany Mary Foley,T88QRAS9,2097-09-15,2105-09-15,None,Arkansas,61.7,"5' 2""",138 lbs
Susan Foley,Q30JKNR0,2090-11-29,2098-11-29,None,Virginia,65.9,"5' 6""",124 lbs
Travis Vincent Foley,I84ABMT3,2095-08-23,2103-08-23,None,New York,74.5,"6' 2""",133 lbs
Timothy Daniel Thomas,P90SVEQ8,2091-06-09,2099-06-09,None,Michigan,63.5,"5' 4""",210 lbs
April Jennifer Campbell,T98OJTF1,2092-07-15,2100-07-15,None,North Carolina,67.2,"5' 7""",128 lbs
Melanie Amanda Miller,N13DBZL3,2099-06-30,2107-06-30,None,Connecticut,56.9,"4' 9""",137 lbs
Amy Julia Griffin,V08JNBA8,2096-04-08,2104-04-08,None,South Carolina,64.4,"5' 4""",140 lbs
Caroline Wanda Johnson,B25THSS3,2092-04-03,2100-04-03,None,Maryland,63.2,"5' 3""",120 lbs
Sara Danielle Johnson,S25JAGW4,2099-06-17,2107-06-17,B - Corrective Lenses,Michigan,66.9,"5' 7""",144 lbs
Dawn Tammy Page,K35TDGM7,2093-01-07,2101-01-07,B - Corrective Lenses,Michigan,64.9,"5' 5""",136 lbs
Jason John Thomas,Z44BICI7,2097-07-11,2105-07-11,None,Delaware,63.7,"5' 4""",189 lbs
Alicia Debra Duran,C59YBJS7,2093-12-03,2101-12-03,None,Indiana,62.2,"5' 2""",131 lbs
Frank David Boyer,O62DDBI4,2098-02-26,2106-02-26,None,South Carolina,65.3,"5' 5""",150 lbs
Harry Wesley Hopkins,W67DXQZ8,2099-01-27,2107-01-27,None,Maryland,71.9,"6' 0""",177 lbs
Aaron David Hopkins,C18EOEW5,2092-02-08,2100-02-08,None,Maine,70.4,"5' 10""",174 lbs
Jordan Edward Hopkins,V48UAPN8,2090-01-10,2098-01-10,None,Wisconsin,72.3,"6' 0""",175 lbs
Jose Edwin Hopkins,J31HBLD3,2093-05-28,2101-05-28,None,Maryland,63.0,"5' 3""",168 lbs
Margaret Megan Garrison,E10NZGA2,2091-08-25,2099-08-25,None,Minnesota,63.6,"5' 4""",123 lbs
Emily Melissa Ramirez,H35CKFZ2,2096-08-29,2104-08-29,None,Mississippi,64.3,"5' 4""",132 lbs
Drew Lucas,W04JZJX4,2090-07-02,2098-07-02,None,South Dakota,72.9,"6' 1""",205 lbs
Douglas Perez,T62FAFT1,2093-06-30,2101-06-30,None,Oregon,67.6,"5' 8""",120 lbs
Michael Antonio Perez,X25EJEA1,2094-12-06,2102-12-06,None,Michigan,73.1,"6' 1""",171 lbs
Michael Brian Bauer,O12JPNN3,2097-10-23,2105-10-23,D - Daytime Only,Florida,69.5,"5' 10""",202 lbs
Brian Alan Bauer,E91LOST5,2099-03-03,2107-03-03,None,New York,73.9,"6' 2""",214 lbs
Donna Hall,O15ICWR5,2095-07-09,2103-07-09,None,Nebraska,62.3,"5' 2""",133 lbs
Ashley Wanda Miller,K18MQSY1,2093-09-06,2101-09-06,B - Corrective Lenses,Connecticut,62.2,"5' 2""",125 lbs
Aaron Frank Dalton,E17WPPI4,2095-08-02,2103-08-02,B - Corrective Lenses,Wyoming,66.1,"5' 6""",185 lbs
Samantha Eileen Dalton,Z72WTSE3,2096-05-23,2104-05-23,None,Delaware,67.9,"5' 8""",149 lbs
Katherine Morgan Hill,I00LQWT4,2090-02-26,2098-02-26,None,Wyoming,70.4,"5' 10""",140 lbs
Stephen Michael Hill,M73JFUU2,2096-02-25,2104-02-25,None,Massachusetts,63.5,"5' 4""",201 lbs
Christopher Tyler Ingram,O18XFDA9,2095-08-31,2103-08-31,None,Colorado,58.9,"4' 11""",201 lbs
Gail Taylor Ingram,G89RCBO8,2090-01-17,2098-01-17,None,Oklahoma,66.9,"5' 7""",151 lbs
Alexis Sandra Shepherd,Y33RNAY1,2097-11-10,2105-11-10,None,Montana,61.9,"5' 2""",142 lbs
Eric Dennis Gutierrez,T36DUJT2,2092-07-24,2100-07-24,None,Alabama,68.8,"5' 9""",150 lbs
Peggy Gutierrez,D01DLYI7,2097-12-27,2105-12-27,None,Idaho,69.6,"5' 10""",141 lbs
Lucas Smith,S15GHOM2,2099-05-11,2107-05-11,None,Arizona,68.7,"5' 9""",191 lbs
Alison Martha Sherman,Q81LCCG5,2093-02-14,2101-02-14,None,Florida,63.4,"5' 3""",138 lbs
Michael Daniel Brown,X76VDDJ4,2099-02-09,2107-02-09,B - Corrective Lenses,New Mexico,76.4,"6' 4""",158 lbs
Laurie Michelle Thomas,H84QPDA8,2095-04-21,2103-04-21,None,Michigan,62.2,"5' 2""",146 lbs
